country_id,google_maps_url,openstreetmaps_url
230,https://goo.gl/maps/Z9DXNxhf2o93kvyc6,https://www.openstreetmap.org/relation/286393
231,https://goo.gl/maps/uoDRhXbsqjG6L7VG7,https://www.openstreetmap.org/relation/1473947
232,https://goo.gl/maps/aqr3aNQjS1BAvksJ7,https://www.openstreetmap.org/relation/305099
233,https://goo.gl/maps/P3ZVXX3LH63t91hL8,https://www.openstreetmap.org/relation/7269765
234,https://goo.gl/maps/nrGZrvWRGB4WHgDC9,https://www.openstreetmap.org/relation/2184233
235,https://goo.gl/maps/kyBuJriu4itiXank7,https://www.openstreetmap.org/node/36966060
236,https://goo.gl/maps/vyRSkqw1H1fnq4ry6,https://www.openstreetmap.org/relation/192793
237,https://goo.gl/maps/VkPHoeFSfgzRQCDv8,https://www.openstreetmap.org/relation/536807
238,https://goo.gl/maps/NrRfDEWoG8FGZqWY7,https://www.openstreetmap.org/relation/555717
239,https://goo.gl/maps/zix9qNFX69E9yZ2M6,https://www.openstreetmap.org/relation/120027
240,https://goo.gl/maps/DTKvw5Bd1QZaDZmE8,https://www.openstreetmap.org/relation/36989
241,https://goo.gl/maps/ZC17hHsQZpShN5wk9,https://www.openstreetmap.org/relation/6365444
242,https://goo.gl/maps/k5FBAiVaVyozuYeA7,https://www.openstreetmap.org/relation/2177227
243,https://goo.gl/maps/whymRdk3dZFfAAs4A,https://www.openstreetmap.org/relation/1867188
244,https://goo.gl/maps/s5g7imNPMDEePxzbA,https://www.openstreetmap.org/relation/114686
245,https://goo.gl/maps/cBhtCeMdob4U7FRU9,https://www.openstreetmap.org/relation/3407643
246,https://goo.gl/maps/JbPkx86Ywjv8C1n8A,https://www.openstreetmap.org/relation/1857436
247,https://goo.gl/maps/CSC4Yc8SWPgburuD9,https://www.openstreetmap.org/relation/2088990
248,https://goo.gl/maps/kyAGw6XEJgjSMsTK7,https://www.openstreetmap.org/relation/571804
249,https://goo.gl/maps/p5YALBY2QdEzswRo7,https://www.openstreetmap.org/relation/2186665
250,https://goo.gl/maps/qrY1PNeUXGyXDcPy6,https://www.openstreetmap.org/relation/2108121
251,https://goo.gl/maps/r9fhDqoLZdg1zmE99,https://www.openstreetmap.org/relation/571747
252,https://goo.gl/maps/Z8mQ6jxnRQKFwJy9A,https://www.openstreetmap.org/relation/555017
253,https://goo.gl/maps/hZKnrzgeK69dDyPF8,https://www.openstreetmap.org/relation/6430384
